nohup: ignoring input
{"chunks": 20, "tokens": 5813215, "elapsed_sec": 0.9, "tokens_per_sec": 6793322.9}
{"chunks": 960, "tokens": 280088883, "elapsed_sec": 11.9, "tokens_per_sec": 23631339.9}
{"chunks": 980, "tokens": 286107662, "elapsed_sec": 12.0, "tokens_per_sec": 23771661.8}
{"chunks": 1000, "tokens": 291914184, "elapsed_sec": 12.2, "tokens_per_sec": 23932714.5}
{"chunks": 1020, "tokens": 297866423, "elapsed_sec": 12.4, "tokens_per_sec": 24063155.4}
{"chunks": 1040, "tokens": 303748036, "elapsed_sec": 12.6, "tokens_per_sec": 24100801.0}
{"chunks": 1060, "tokens": 309536330, "elapsed_sec": 12.8, "tokens_per_sec": 24275441.3}
{"chunks": 1080, "tokens": 315479184, "elapsed_sec": 13.0, "tokens_per_sec": 24309776.9}
{"chunks": 1100, "tokens": 321136234, "elapsed_sec": 13.1, "tokens_per_sec": 24427768.3}
{"chunks": 1120, "tokens": 326779379, "elapsed_sec": 13.3, "tokens_per_sec": 24514237.1}
{"chunks": 1140, "tokens": 332635769, "elapsed_sec": 13.6, "tokens_per_sec": 24453109.5}
{"chunks": 1160, "tokens": 338562191, "elapsed_sec": 13.9, "tokens_per_sec": 24356116.8}
{"chunks": 1180, "tokens": 344422653, "elapsed_sec": 14.1, "tokens_per_sec": 24393070.7}
{"chunks": 1200, "tokens": 350202396, "elapsed_sec": 14.3, "tokens_per_sec": 24500707.4}
{"chunks": 1220, "tokens": 356049366, "elapsed_sec": 14.7, "tokens_per_sec": 24221049.9}
{"chunks": 1240, "tokens": 361927822, "elapsed_sec": 15.1, "tokens_per_sec": 23945262.3}
{"chunks": 1260, "tokens": 367629661, "elapsed_sec": 15.4, "tokens_per_sec": 23803371.5}
{"chunks": 1280, "tokens": 373412809, "elapsed_sec": 15.7, "tokens_per_sec": 23810042.9}
{"chunks": 1300, "tokens": 379169203, "elapsed_sec": 16.0, "tokens_per_sec": 23677008.3}
{"chunks": 1320, "tokens": 384859041, "elapsed_sec": 16.4, "tokens_per_sec": 23482368.8}
{"chunks": 1340, "tokens": 390611713, "elapsed_sec": 16.8, "tokens_per_sec": 23216497.4}
{"chunks": 1360, "tokens": 396476913, "elapsed_sec": 17.2, "tokens_per_sec": 23068770.4}
{"chunks": 1380, "tokens": 402100001, "elapsed_sec": 17.4, "tokens_per_sec": 23055366.9}
{"chunks": 1400, "tokens": 407968628, "elapsed_sec": 17.7, "tokens_per_sec": 23064028.5}
{"chunks": 1420, "tokens": 413730734, "elapsed_sec": 17.9, "tokens_per_sec": 23064640.6}
{"chunks": 1440, "tokens": 419663250, "elapsed_sec": 18.2, "tokens_per_sec": 23004093.5}
{"chunks": 1460, "tokens": 425329235, "elapsed_sec": 18.4, "tokens_per_sec": 23145537.3}
{"chunks": 1480, "tokens": 431051083, "elapsed_sec": 18.7, "tokens_per_sec": 22990860.4}
{"chunks": 1500, "tokens": 436927205, "elapsed_sec": 18.8, "tokens_per_sec": 23230918.8}
{"chunks": 1520, "tokens": 442599182, "elapsed_sec": 19.2, "tokens_per_sec": 23029989.8}
{"chunks": 1540, "tokens": 448543722, "elapsed_sec": 19.7, "tokens_per_sec": 22740284.2}
{"chunks": 1560, "tokens": 454353627, "elapsed_sec": 20.0, "tokens_per_sec": 22696127.0}
{"chunks": 1580, "tokens": 460102693, "elapsed_sec": 20.3, "tokens_per_sec": 22672681.2}
{"chunks": 1600, "tokens": 465892977, "elapsed_sec": 20.5, "tokens_per_sec": 22734683.3}
{"chunks": 1620, "tokens": 471592891, "elapsed_sec": 20.8, "tokens_per_sec": 22705616.9}
{"chunks": 1640, "tokens": 477235525, "elapsed_sec": 21.1, "tokens_per_sec": 22627981.4}
{"chunks": 1660, "tokens": 483077284, "elapsed_sec": 21.4, "tokens_per_sec": 22619567.8}
{"chunks": 1680, "tokens": 488867813, "elapsed_sec": 21.5, "tokens_per_sec": 22708828.8}
{"chunks": 1700, "tokens": 494615534, "elapsed_sec": 21.7, "tokens_per_sec": 22808346.2}
{"chunks": 1720, "tokens": 500465592, "elapsed_sec": 21.9, "tokens_per_sec": 22815659.5}
{"chunks": 1740, "tokens": 506003541, "elapsed_sec": 22.1, "tokens_per_sec": 22855629.7}
{"chunks": 1760, "tokens": 511899760, "elapsed_sec": 22.2, "tokens_per_sec": 23056743.0}
{"chunks": 1780, "tokens": 517561193, "elapsed_sec": 22.4, "tokens_per_sec": 23149881.8}
{"chunks": 1800, "tokens": 523491488, "elapsed_sec": 22.5, "tokens_per_sec": 23239392.6}
{"chunks": 1820, "tokens": 529433199, "elapsed_sec": 22.7, "tokens_per_sec": 23356075.8}
{"chunks": 1840, "tokens": 535516066, "elapsed_sec": 22.9, "tokens_per_sec": 23421132.6}
{"chunks": 1860, "tokens": 541391928, "elapsed_sec": 23.1, "tokens_per_sec": 23469167.5}
{"chunks": 1880, "tokens": 547216103, "elapsed_sec": 23.2, "tokens_per_sec": 23580875.1}
{"chunks": 1900, "tokens": 553120194, "elapsed_sec": 23.3, "tokens_per_sec": 23706884.9}
{"chunks": 1920, "tokens": 558750401, "elapsed_sec": 23.5, "tokens_per_sec": 23751105.6}
{"chunks": 1940, "tokens": 564634983, "elapsed_sec": 23.7, "tokens_per_sec": 23816008.1}
{"chunks": 1960, "tokens": 570449242, "elapsed_sec": 23.9, "tokens_per_sec": 23883858.0}
{"chunks": 1980, "tokens": 576139472, "elapsed_sec": 24.3, "tokens_per_sec": 23724154.3}
{"chunks": 2000, "tokens": 581995338, "elapsed_sec": 24.6, "tokens_per_sec": 23649896.9}
{"chunks": 2020, "tokens": 587830985, "elapsed_sec": 24.8, "tokens_per_sec": 23659186.7}
{"chunks": 2040, "tokens": 593598559, "elapsed_sec": 25.2, "tokens_per_sec": 23601238.0}
{"chunks": 2060, "tokens": 599402216, "elapsed_sec": 25.4, "tokens_per_sec": 23601298.6}
{"chunks": 2080, "tokens": 605253439, "elapsed_sec": 25.6, "tokens_per_sec": 23669766.9}
{"chunks": 2100, "tokens": 611065266, "elapsed_sec": 25.7, "tokens_per_sec": 23736869.7}
{"chunks": 2120, "tokens": 616950938, "elapsed_sec": 26.0, "tokens_per_sec": 23773529.0}
{"chunks": 2140, "tokens": 622825578, "elapsed_sec": 26.2, "tokens_per_sec": 23767622.6}
{"chunks": 2160, "tokens": 628709529, "elapsed_sec": 26.4, "tokens_per_sec": 23772547.4}
{"chunks": 2180, "tokens": 634743153, "elapsed_sec": 26.6, "tokens_per_sec": 23826145.3}
{"chunks": 2200, "tokens": 640598015, "elapsed_sec": 26.8, "tokens_per_sec": 23885177.9}
{"chunks": 2220, "tokens": 646472870, "elapsed_sec": 27.1, "tokens_per_sec": 23894437.0}
{"chunks": 2240, "tokens": 652363978, "elapsed_sec": 27.3, "tokens_per_sec": 23922910.7}
{"chunks": 2260, "tokens": 658145766, "elapsed_sec": 27.5, "tokens_per_sec": 23966275.3}
{"chunks": 2280, "tokens": 664000470, "elapsed_sec": 27.7, "tokens_per_sec": 23954684.2}
{"chunks": 2300, "tokens": 669628056, "elapsed_sec": 28.0, "tokens_per_sec": 23922957.5}
{"chunks": 2320, "tokens": 675245454, "elapsed_sec": 28.5, "tokens_per_sec": 23733014.2}
{"chunks": 2340, "tokens": 680816613, "elapsed_sec": 28.8, "tokens_per_sec": 23677868.3}
{"chunks": 2360, "tokens": 686715370, "elapsed_sec": 29.0, "tokens_per_sec": 23665029.2}
{"chunks": 2380, "tokens": 692624671, "elapsed_sec": 29.4, "tokens_per_sec": 23549119.4}
{"chunks": 2400, "tokens": 698313196, "elapsed_sec": 29.9, "tokens_per_sec": 23390687.4}
{"chunks": 2420, "tokens": 704160365, "elapsed_sec": 30.4, "tokens_per_sec": 23180707.5}
{"chunks": 2440, "tokens": 709925233, "elapsed_sec": 30.8, "tokens_per_sec": 23067985.2}
{"chunks": 2460, "tokens": 715722207, "elapsed_sec": 31.3, "tokens_per_sec": 22864427.6}
{"chunks": 2480, "tokens": 721410551, "elapsed_sec": 31.7, "tokens_per_sec": 22778816.7}
{"chunks": 2500, "tokens": 727358345, "elapsed_sec": 31.9, "tokens_per_sec": 22819486.8}
{"chunks": 2520, "tokens": 733125054, "elapsed_sec": 32.2, "tokens_per_sec": 22733579.6}
{"chunks": 2540, "tokens": 738986760, "elapsed_sec": 32.6, "tokens_per_sec": 22687567.4}
{"chunks": 2560, "tokens": 745024549, "elapsed_sec": 32.8, "tokens_per_sec": 22707618.2}
{"chunks": 2580, "tokens": 750850158, "elapsed_sec": 33.2, "tokens_per_sec": 22631513.4}
{"chunks": 2600, "tokens": 756772919, "elapsed_sec": 33.5, "tokens_per_sec": 22621340.7}
{"chunks": 2620, "tokens": 762574644, "elapsed_sec": 33.7, "tokens_per_sec": 22635741.9}
{"chunks": 2640, "tokens": 768472148, "elapsed_sec": 34.1, "tokens_per_sec": 22555273.2}
{"chunks": 2660, "tokens": 774369330, "elapsed_sec": 34.4, "tokens_per_sec": 22489892.7}
{"chunks": 2680, "tokens": 780153611, "elapsed_sec": 35.0, "tokens_per_sec": 22286105.8}
{"chunks": 2700, "tokens": 786073961, "elapsed_sec": 35.3, "tokens_per_sec": 22291168.0}
{"chunks": 2720, "tokens": 791901560, "elapsed_sec": 35.8, "tokens_per_sec": 22132201.2}
{"chunks": 2740, "tokens": 797702264, "elapsed_sec": 36.1, "tokens_per_sec": 22087781.9}
{"chunks": 2760, "tokens": 803536898, "elapsed_sec": 36.7, "tokens_per_sec": 21909409.1}
{"chunks": 2780, "tokens": 809329068, "elapsed_sec": 37.0, "tokens_per_sec": 21868330.4}
{"chunks": 2800, "tokens": 815029961, "elapsed_sec": 37.2, "tokens_per_sec": 21883321.1}
{"chunks": 2820, "tokens": 820922869, "elapsed_sec": 37.6, "tokens_per_sec": 21854210.6}
{"chunks": 2840, "tokens": 826784245, "elapsed_sec": 37.9, "tokens_per_sec": 21828693.5}
{"chunks": 2860, "tokens": 832733276, "elapsed_sec": 38.1, "tokens_per_sec": 21855006.2}
{"chunks": 2880, "tokens": 838463175, "elapsed_sec": 38.3, "tokens_per_sec": 21910727.7}
{"chunks": 2900, "tokens": 844052512, "elapsed_sec": 38.5, "tokens_per_sec": 21944360.4}
{"chunks": 2920, "tokens": 849949496, "elapsed_sec": 38.7, "tokens_per_sec": 21935084.2}
{"chunks": 2940, "tokens": 855919612, "elapsed_sec": 39.1, "tokens_per_sec": 21912828.3}
{"chunks": 2960, "tokens": 861514350, "elapsed_sec": 39.4, "tokens_per_sec": 21864630.6}
{"chunks": 2980, "tokens": 867434882, "elapsed_sec": 39.6, "tokens_per_sec": 21881696.3}
{"chunks": 3000, "tokens": 873348693, "elapsed_sec": 39.9, "tokens_per_sec": 21886219.8}
{"chunks": 3020, "tokens": 879251031, "elapsed_sec": 40.1, "tokens_per_sec": 21934615.1}
{"chunks": 3040, "tokens": 885301896, "elapsed_sec": 40.3, "tokens_per_sec": 21946709.8}
{"chunks": 3060, "tokens": 891127271, "elapsed_sec": 40.6, "tokens_per_sec": 21949034.9}
{"chunks": 3080, "tokens": 897011772, "elapsed_sec": 40.9, "tokens_per_sec": 21927583.6}
{"chunks": 3100, "tokens": 902881143, "elapsed_sec": 41.2, "tokens_per_sec": 21911317.2}
{"chunks": 3120, "tokens": 908640213, "elapsed_sec": 41.4, "tokens_per_sec": 21945519.9}
{"chunks": 3140, "tokens": 914581947, "elapsed_sec": 41.8, "tokens_per_sec": 21897451.4}
{"chunks": 3160, "tokens": 920390389, "elapsed_sec": 42.0, "tokens_per_sec": 21897106.3}
{"chunks": 3180, "tokens": 926249951, "elapsed_sec": 42.5, "tokens_per_sec": 21805280.7}
{"chunks": 3200, "tokens": 931967789, "elapsed_sec": 42.7, "tokens_per_sec": 21805626.3}
{"chunks": 3220, "tokens": 937761434, "elapsed_sec": 43.1, "tokens_per_sec": 21779393.4}
{"chunks": 3240, "tokens": 943529843, "elapsed_sec": 43.2, "tokens_per_sec": 21816666.8}
{"chunks": 3260, "tokens": 949186349, "elapsed_sec": 43.7, "tokens_per_sec": 21699734.9}
{"chunks": 3280, "tokens": 955022749, "elapsed_sec": 44.1, "tokens_per_sec": 21636623.3}
{"chunks": 3300, "tokens": 960759046, "elapsed_sec": 44.6, "tokens_per_sec": 21552947.3}
{"chunks": 3320, "tokens": 966608057, "elapsed_sec": 44.7, "tokens_per_sec": 21601838.3}
{"chunks": 3340, "tokens": 972599982, "elapsed_sec": 45.0, "tokens_per_sec": 21599836.3}
{"chunks": 3360, "tokens": 978613124, "elapsed_sec": 45.4, "tokens_per_sec": 21531681.1}
{"chunks": 3380, "tokens": 984512478, "elapsed_sec": 45.9, "tokens_per_sec": 21453232.6}
{"chunks": 3400, "tokens": 990587139, "elapsed_sec": 46.2, "tokens_per_sec": 21445738.3}
{"chunks": 3420, "tokens": 996414211, "elapsed_sec": 46.6, "tokens_per_sec": 21385963.4}
{"chunks": 3440, "tokens": 1002146660, "elapsed_sec": 47.0, "tokens_per_sec": 21330664.3}
{"chunks": 3460, "tokens": 1007848345, "elapsed_sec": 47.3, "tokens_per_sec": 21314944.0}
{"chunks": 3480, "tokens": 1013810020, "elapsed_sec": 47.5, "tokens_per_sec": 21349375.1}
{"chunks": 3500, "tokens": 1019720818, "elapsed_sec": 47.7, "tokens_per_sec": 21376235.0}
{"chunks": 3520, "tokens": 1025542764, "elapsed_sec": 722.5, "tokens_per_sec": 1419355.4}
{"chunks": 3540, "tokens": 1031397001, "elapsed_sec": 723.2, "tokens_per_sec": 1426136.4}
{"chunks": 3560, "tokens": 1037112555, "elapsed_sec": 724.1, "tokens_per_sec": 1432237.9}
{"chunks": 3580, "tokens": 1042792375, "elapsed_sec": 724.8, "tokens_per_sec": 1438791.0}
{"chunks": 3600, "tokens": 1048691435, "elapsed_sec": 725.2, "tokens_per_sec": 1446064.1}
{"chunks": 3620, "tokens": 1054463485, "elapsed_sec": 725.2, "tokens_per_sec": 1453975.1}
{"chunks": 3640, "tokens": 1060178406, "elapsed_sec": 725.3, "tokens_per_sec": 1461735.0}
{"chunks": 3660, "tokens": 1066128209, "elapsed_sec": 725.4, "tokens_per_sec": 1469808.5}
{"chunks": 3680, "tokens": 1071818868, "elapsed_sec": 725.4, "tokens_per_sec": 1477587.8}
{"chunks": 3700, "tokens": 1077547098, "elapsed_sec": 726.1, "tokens_per_sec": 1484059.3}
{"chunks": 3720, "tokens": 1083388538, "elapsed_sec": 726.6, "tokens_per_sec": 1491030.5}
{"chunks": 3740, "tokens": 1088999127, "elapsed_sec": 727.1, "tokens_per_sec": 1497657.8}
{"chunks": 3760, "tokens": 1094695846, "elapsed_sec": 727.7, "tokens_per_sec": 1504297.6}
{"chunks": 3780, "tokens": 1100544907, "elapsed_sec": 728.3, "tokens_per_sec": 1511188.4}
{"chunks": 3800, "tokens": 1106290243, "elapsed_sec": 728.7, "tokens_per_sec": 1518199.0}
{"chunks": 3820, "tokens": 1112083335, "elapsed_sec": 729.4, "tokens_per_sec": 1524562.4}
{"chunks": 3840, "tokens": 1117957432, "elapsed_sec": 730.1, "tokens_per_sec": 1531276.7}
{"chunks": 3860, "tokens": 1123756043, "elapsed_sec": 730.9, "tokens_per_sec": 1537535.9}
{"chunks": 3880, "tokens": 1129576513, "elapsed_sec": 731.7, "tokens_per_sec": 1543744.8}
{"chunks": 3900, "tokens": 1135663061, "elapsed_sec": 732.2, "tokens_per_sec": 1550928.7}
{"chunks": 3920, "tokens": 1141663771, "elapsed_sec": 732.7, "tokens_per_sec": 1558242.7}
{"chunks": 3940, "tokens": 1147461788, "elapsed_sec": 733.3, "tokens_per_sec": 1564871.0}
{"chunks": 3960, "tokens": 1153445987, "elapsed_sec": 734.5, "tokens_per_sec": 1570277.5}
{"chunks": 3980, "tokens": 1159299653, "elapsed_sec": 735.2, "tokens_per_sec": 1576954.3}
{"chunks": 4000, "tokens": 1165127439, "elapsed_sec": 735.9, "tokens_per_sec": 1583310.3}
{"chunks": 4020, "tokens": 1170709484, "elapsed_sec": 736.7, "tokens_per_sec": 1589126.7}
{"chunks": 4040, "tokens": 1176465953, "elapsed_sec": 737.3, "tokens_per_sec": 1595596.8}
{"chunks": 4060, "tokens": 1182234284, "elapsed_sec": 738.0, "tokens_per_sec": 1602015.9}
{"chunks": 4080, "tokens": 1187875133, "elapsed_sec": 738.6, "tokens_per_sec": 1608346.7}
{"chunks": 4100, "tokens": 1193578983, "elapsed_sec": 739.4, "tokens_per_sec": 1614147.8}
{"chunks": 4120, "tokens": 1199204334, "elapsed_sec": 740.0, "tokens_per_sec": 1620503.5}
{"chunks": 4140, "tokens": 1205020895, "elapsed_sec": 740.5, "tokens_per_sec": 1627229.9}
{"chunks": 4160, "tokens": 1210779057, "elapsed_sec": 741.3, "tokens_per_sec": 1633343.4}
{"chunks": 4180, "tokens": 1216564561, "elapsed_sec": 741.8, "tokens_per_sec": 1640084.7}
{"chunks": 4200, "tokens": 1222559993, "elapsed_sec": 742.3, "tokens_per_sec": 1646896.7}
{"chunks": 4220, "tokens": 1228373438, "elapsed_sec": 742.7, "tokens_per_sec": 1653850.1}
{"chunks": 4240, "tokens": 1234194493, "elapsed_sec": 743.0, "tokens_per_sec": 1661166.9}
{"chunks": 4260, "tokens": 1240074900, "elapsed_sec": 743.3, "tokens_per_sec": 1668257.1}
{"chunks": 4280, "tokens": 1245873172, "elapsed_sec": 744.0, "tokens_per_sec": 1674501.9}
{"chunks": 4300, "tokens": 1251797113, "elapsed_sec": 744.3, "tokens_per_sec": 1681896.6}
{"chunks": 4320, "tokens": 1257738678, "elapsed_sec": 744.3, "tokens_per_sec": 1689832.0}
{"chunks": 4340, "tokens": 1263606613, "elapsed_sec": 744.4, "tokens_per_sec": 1697459.0}
{"chunks": 4360, "tokens": 1269719243, "elapsed_sec": 744.9, "tokens_per_sec": 1704441.3}
{"chunks": 4380, "tokens": 1275490427, "elapsed_sec": 745.1, "tokens_per_sec": 1711729.3}
{"chunks": 4400, "tokens": 1281222510, "elapsed_sec": 745.2, "tokens_per_sec": 1719358.6}
{"chunks": 4420, "tokens": 1287285941, "elapsed_sec": 745.3, "tokens_per_sec": 1727137.0}
{"chunks": 4440, "tokens": 1293000721, "elapsed_sec": 745.4, "tokens_per_sec": 1734611.3}
{"chunks": 4460, "tokens": 1298902910, "elapsed_sec": 745.8, "tokens_per_sec": 1741695.8}
{"chunks": 4480, "tokens": 1304753510, "elapsed_sec": 745.8, "tokens_per_sec": 1749470.9}
{"chunks": 4500, "tokens": 1310707097, "elapsed_sec": 746.3, "tokens_per_sec": 1756298.0}
{"chunks": 4520, "tokens": 1316504804, "elapsed_sec": 746.5, "tokens_per_sec": 1763644.3}
{"chunks": 4540, "tokens": 1322187993, "elapsed_sec": 746.7, "tokens_per_sec": 1770608.6}
{"chunks": 4560, "tokens": 1327907843, "elapsed_sec": 747.0, "tokens_per_sec": 1777679.3}
{"chunks": 4580, "tokens": 1333854973, "elapsed_sec": 747.1, "tokens_per_sec": 1785331.6}
{"chunks": 4600, "tokens": 1339516732, "elapsed_sec": 747.3, "tokens_per_sec": 1792433.6}
{"chunks": 4620, "tokens": 1345297219, "elapsed_sec": 747.5, "tokens_per_sec": 1799776.5}
{"chunks": 4640, "tokens": 1351273477, "elapsed_sec": 747.7, "tokens_per_sec": 1807340.0}
{"chunks": 4660, "tokens": 1357249223, "elapsed_sec": 747.8, "tokens_per_sec": 1815042.3}
{"chunks": 4680, "tokens": 1363144435, "elapsed_sec": 748.0, "tokens_per_sec": 1822433.6}
{"chunks": 4700, "tokens": 1368892451, "elapsed_sec": 748.3, "tokens_per_sec": 1829450.6}
{"chunks": 4720, "tokens": 1374996958, "elapsed_sec": 748.5, "tokens_per_sec": 1837035.8}
{"chunks": 4740, "tokens": 1380908880, "elapsed_sec": 748.8, "tokens_per_sec": 1844126.1}
{"chunks": 4760, "tokens": 1386554557, "elapsed_sec": 749.0, "tokens_per_sec": 1851108.3}
{"chunks": 4780, "tokens": 1392595402, "elapsed_sec": 749.3, "tokens_per_sec": 1858490.8}
{"chunks": 4800, "tokens": 1398606411, "elapsed_sec": 749.5, "tokens_per_sec": 1866084.3}
{"chunks": 4820, "tokens": 1404263422, "elapsed_sec": 749.7, "tokens_per_sec": 1873030.1}
{"chunks": 4840, "tokens": 1410284294, "elapsed_sec": 749.9, "tokens_per_sec": 1880562.6}
{"chunks": 4860, "tokens": 1416339061, "elapsed_sec": 750.8, "tokens_per_sec": 1886539.5}
{"chunks": 4880, "tokens": 1422121070, "elapsed_sec": 751.4, "tokens_per_sec": 1892712.3}
{"chunks": 4900, "tokens": 1427959777, "elapsed_sec": 752.0, "tokens_per_sec": 1898902.7}
{"chunks": 4920, "tokens": 1433585132, "elapsed_sec": 752.5, "tokens_per_sec": 1905110.2}
{"chunks": 4940, "tokens": 1439472965, "elapsed_sec": 752.9, "tokens_per_sec": 1911954.3}
{"chunks": 4960, "tokens": 1445266279, "elapsed_sec": 753.3, "tokens_per_sec": 1918546.0}
{"chunks": 4980, "tokens": 1451317588, "elapsed_sec": 753.8, "tokens_per_sec": 1925325.5}
{"chunks": 5000, "tokens": 1457095315, "elapsed_sec": 754.4, "tokens_per_sec": 1931384.8}
{"chunks": 5020, "tokens": 1462975642, "elapsed_sec": 754.9, "tokens_per_sec": 1937905.6}
{"chunks": 5040, "tokens": 1468717801, "elapsed_sec": 755.8, "tokens_per_sec": 1943275.0}
{"chunks": 5060, "tokens": 1474571785, "elapsed_sec": 756.3, "tokens_per_sec": 1949759.8}
{"chunks": 5080, "tokens": 1480391743, "elapsed_sec": 756.8, "tokens_per_sec": 1956211.7}
{"chunks": 5100, "tokens": 1486102203, "elapsed_sec": 757.6, "tokens_per_sec": 1961642.2}
{"chunks": 5120, "tokens": 1492090928, "elapsed_sec": 758.0, "tokens_per_sec": 1968373.7}
{"chunks": 5140, "tokens": 1497936413, "elapsed_sec": 758.5, "tokens_per_sec": 1974899.6}
{"chunks": 5160, "tokens": 1503672545, "elapsed_sec": 759.3, "tokens_per_sec": 1980387.4}
{"chunks": 5180, "tokens": 1509676263, "elapsed_sec": 759.6, "tokens_per_sec": 1987430.1}
{"chunks": 5200, "tokens": 1515457662, "elapsed_sec": 759.7, "tokens_per_sec": 1994917.2}
{"chunks": 5220, "tokens": 1521292511, "elapsed_sec": 760.0, "tokens_per_sec": 2001633.4}
{"chunks": 5240, "tokens": 1527164466, "elapsed_sec": 760.1, "tokens_per_sec": 2009078.6}
{"chunks": 5260, "tokens": 1533131458, "elapsed_sec": 760.2, "tokens_per_sec": 2016713.9}
{"chunks": 5280, "tokens": 1538852572, "elapsed_sec": 760.7, "tokens_per_sec": 2023046.2}
{"chunks": 5300, "tokens": 1544884806, "elapsed_sec": 761.2, "tokens_per_sec": 2029585.6}
{"chunks": 5320, "tokens": 1550611236, "elapsed_sec": 762.1, "tokens_per_sec": 2034644.6}
